RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021
394777,756,"Laurinburg, NC",Msa,NC,,81827,83312,84279,85118,86217,87183,88195,89074,89922,90450,
394535,757,"Dixon, IL",Msa,IL,103922,104784,105884,106645,108125,109742,111446,112628,113871,114723,115345,116512
394315,758,"Alexandria, MN",Msa,MN,248735,250749,255961,257834,262223,264994,272072,277692,282681,286864,290791,294740
394915,759,"Newport, TN",Msa,TN,121340,123398,124940,125745,126558,128409,130014,131084,131574,131791,132362,
394522,760,"DeRidder, LA",Msa,LA,118703,119196,119749,120245,121199,121723,122123,122441,122934,123395,123576,125018
394781,761,"Lebanon, MO",Msa,MO,137314,139530,142648,144423,146221,147455,148963,150471,151767,152488,152917,154791
394481,762,"Coffeyville, KS",Msa,KS,61077,62101,63212,64042,64641,65267,65788,66380,66752,67202,67549,67871
395084,763,"Seneca Falls, NY",Msa,NY,132191,133978,135948,137266,138609,139844,141069,142109,143148,144083,144901,
394835,765,"Martin, TN",Msa,TN,,105398,107573,108575,109530,110333,111280,111709,112204,112344,112678,
395141,766,"Susanville, CA",Msa,CA,185686,189472,193797,196775,199858,202959,206455,210089,213344,215275,216925,219714
394417,767,"Brookhaven, MS",Msa,MS,123327,125485,126957,127930,128581,129435,130303,131066,131789,132499,133400,
394335,768,"Arcadia, FL",Msa,FL,,150696,154391,156385,158501,160464,162472,164672,166785,168657,170169,173249
395150,769,"Taylorville, IL",Msa,IL,86560,87406,88433,89054,89606,90136,90791,91557,92202,92601,92836,93692
394525,770,"Decatur, IN",Msa,IN,158152,161074,164203,166007,167879,169798,171376,172676,173870,174953,175891,178799
753894,771,"Junction City, KS",Msa,KS,154355,156807,159516,161177,162676,164312,165785,167248,168246,169087,169218,170562
394557,772,"Effingham, IL",Msa,IL,156784,158433,160174,161597,162992,164384,165740,167149,168796,170017,171027,172729
395184,773,"Valley, AL",Msa,AL,74409,75471,76671,77281,78162,78995,79693,80406,80993,81724,82034,
394430,774,"Butte, MT",Msa,MT,,165864,170537,172736,174644,177305,179786,182391,184268,185882,186890,
394331,775,"Angola, IN",Msa,IN,193235,196752,200739,202795,205075,207363,209640,211434,212917,214634,216215,220126
394536,778,"Dodge City, KS",Msa,KS,121655,123504,125660,127116,128388,129788,131110,132730,134031,135310,136110,137372
394413,779,"Brenham, TX",Msa,TX,,257930,262068,263763,265289,267680,270257,273220,276110,278248,279755,
394569,780,"Emporia, KS",Msa,KS,115748,117694,120036,121574,122772,123917,125110,126532,127791,129006,129583,131098
753892,782,"Jackson, OH",Msa,OH,89272,90665,92019,92750,93456,94486,95200,96066,96799,97730,98543,100347
394613,783,"Frankfort, IN",Msa,IN,,126753,129507,130916,132312,133704,135120,136279,137377,138564,139661,142071
394414,784,"Brevard, NC",Msa,NC,,272484,278187,282106,285141,288591,291738,295115,298079,300872,303118,
395149,785,"Taos, NM",Msa,NM,300006,302561,304710,308713,312712,318003,322167,327781,331053,334915,333209,
753902,786,"Malvern, AR",Msa,AR,102429,102907,104750,105842,107147,108196,109520,110606,111740,112307,112923,
395165,787,"Troy, AL",Msa,AL,123443,125054,126946,127857,128951,129626,130217,130710,131416,132246,132904,
395196,788,"Wabash, IN",Msa,IN,,125116,127771,129263,130528,131798,132836,134014,134956,135844,136536,138495
394433,789,"Cambridge, MD",Msa,MD,159493,162000,165158,167027,169287,171332,173506,175623,177657,179534,180895,182903
394812,790,"Macomb, IL",Msa,IL,78869,79553,80509,81199,81777,82251,82633,83033,83353,83552,83806,84476
395187,791,"Vernal, UT",Msa,UT,,249103,256020,259804,262960,266506,270083,274107,277393,280231,281965,287244
394749,792,"Kingsville, TX",Msa,TX,110755,112666,114777,115869,115488,115068,114719,115750,116530,116952,117394,
394815,793,"Madison, IN",Msa,IN,,145931,148993,150747,152895,154771,156472,157726,159171,160510,161900,164922
394886,794,"Mount Pleasant, TX",Msa,TX,,136517,139064,140599,142450,144409,146355,148083,149793,150951,151952,
394962,795,"Paris, TN",Msa,TN,,129540,131969,133122,134290,135460,136932,137807,138681,138961,139582,
394491,796,"Columbus, NE",Msa,NE,,195323,198777,200570,202286,204168,205971,208062,209386,210484,211218,214999
394419,797,"Brookings, SD",Msa,SD,,214907,219764,221958,223832,225847,227669,229410,230886,231962,232563,236150
394740,798,"Kennett, MO",Msa,MO,77243,78075,79328,79880,80529,80896,81431,82005,82705,83206,83545,84569
